Accession,Description,"Abundances (Grouped): F1, 126","Abundances (Grouped): F1, 127N","Abundances (Grouped): F1, 127C","Abundances (Grouped): F1, 128N","Abundances (Grouped): F1, 128C","Abundances (Grouped): F1, 129N","Abundances (Grouped): F1, 129C","Abundances (Grouped): F1, 130N","Abundances (Grouped): F1, 130C","Abundances (Grouped): F1, 131N","Abundances (Grouped): F1, 131C"
P35611,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2,2876509.013,2007035.901,1906310.569,2079808.278,2343149.848,2432912.209,1891151.049,2132263.587,1657558.301,2258557.646,2621635.488
P30038,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3",3810702.346,3206367.438,2908318.106,4602669.075,3450934.131,3769660.221,3319946.173,2920882.059,2322586.656,3450575.866,5120296.794
P14174,Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4,5968462.2,4622381.382,4307948.607,4933216.623,6300787.38,5125269.588,4296002.009,4204735.315,3616605.743,4446157.214,5354509.06
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens OX=9606 GN=CACNA2D1 PE=1 SV=3,2101194.878,1841551.316,2005198.091,1930600.289,1944646.129,2170374.678,1858238.069,2109991.217,1517148.421,1951883.757,2591275.567
Q96E17,Ras-related protein Rab-3C OS=Homo sapiens OX=9606 GN=RAB3C PE=2 SV=1,1492868.155,1337848.751,1647473.274,1609635.45,1208158.555,1651478.614,1418231.448,1786785.023,1171973.309,1565613.994,2166881.506
P80404,"4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ABAT PE=1 SV=3",3627147.051,3048758.79,2599924.559,2843178.887,2330969.139,3118107.707,2363890.176,2206986.447,2121358.357,2934532.979,3641192.956
Q14894,Ketimine reductase mu-crystallin OS=Homo sapiens OX=9606 GN=CRYM PE=1 SV=1,5306250.162,5609430.354,4758943.489,4659594.416,4999401.143,5214981.473,4339238.645,5025279.915,3587540.254,4660307.177,6293453.661
Q9NQ66,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 OS=Homo sapiens OX=9606 GN=PLCB1 PE=1 SV=1",2178826.48,1924318.781,1968526.211,2054934.689,2129847.076,2333825.361,2018449.885,2040799.83,1706405.353,2433815.915,2999503.549
P50502,Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2,5070919.203,4292120.988,4836430.01,4639480.745,5707373.641,4976424.009,4304586.484,3768100.216,3866556.933,3971884.342,6827297.965
Q16851,UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens OX=9606 GN=UGP2 PE=1 SV=5,6334601.924,5141803.913,5015765.442,5608419.525,5406916.055,5582096.132,4781632.63,5036535.978,3626232.481,4390568.438,6211780.783
O75363,Breast carcinoma-amplified sequence 1 OS=Homo sapiens OX=9606 GN=BCAS1 PE=1 SV=2,2026794.394,2260310.955,2064640.638,2490677.906,6820374.992,2729179.451,2611939.17,1333128.117,2727710.95,1804536.141,2312417.805
P47755,F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,3569314.133,2986774.341,3292352.046,3369343.403,3565177.717,3355190.116,2904105.222,3628911.309,2067616.347,2880949.172,4130739.825
Q00577,Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,4572941.799,3739487.993,4450821.912,4520405.584,3953583.266,4718395.575,3820149.96,3694143.356,3279452.489,4217909.328,6259675.745
Q13153,Serine/threonine-protein kinase PAK 1 OS=Homo sapiens OX=9606 GN=PAK1 PE=1 SV=2,4203278.173,4195846.84,4293036.279,3971629.092,4559479.432,4574096.121,3613612.364,4045615.527,3339415.425,3923426.019,6215580.169
Q96GW7,Brevican core protein OS=Homo sapiens OX=9606 GN=BCAN PE=1 SV=2,2898504.049,2392695.019,1845399.504,2184581.967,2813293.884,2486817.94,2153130.1,1705187.834,1714161.52,1965193.946,2741887.409
O43491,Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1,2680336.272,1959439.069,2046803.273,2214090.022,3786089.232,2680439.196,2286600.153,2039001.17,1832771.685,1848954.1,2760814.526
P52565,Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3,5485924.014,5239043.22,4802708.481,4730463.677,7380248.663,5748573.795,4698854.948,4668639.1,3850438.167,5094052.895,6771086.586
Q16698,"2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1",2726835.544,2193446.819,2657400.629,2761989.612,2372619.559,2658512.112,2227972.729,2724832.506,1805343.039,2563860.59,4267354.416
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1",8125132.127,8669514.361,7679197.155,9126337.232,6533161.607,8795201.999,5985526.254,7595721.632,5999277.992,6437554.81,10523902.82
P16402,Histone H1.3 OS=Homo sapiens OX=9606 GN=HIST1H1D PE=1 SV=2,3122362.718,2666333.715,2734549.377,3131609.101,2713236.235,2850173.746,2039887.545,1992808.533,1920387.558,1830650.398,2718321.572
P09382,Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,14163553.69,8357464.823,8099657.659,9315331.495,11106413.18,9544979.178,6532208.552,7282657.24,6140859.156,8781789.455,9424450.135
P45974,Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,3344224.322,2838055.577,2945996.305,2995886.477,3508565.353,3124772.482,2494126.753,3064158.528,2197370.2,2765391.956,3546398.275
P18859,"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5J PE=1 SV=1",10858830.86,8526926.024,8895437.513,9462948.821,7578424.057,9801241.305,6935949.69,9661489.013,6244377.476,8579009.901,13109347.61
P10599,Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3,10347573.66,8833744.133,10168126.23,9786732.748,10931680.74,10085056.87,8993372.078,9478099.261,7249095.575,8948891.215,11788195.33
P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1,4183675.291,3343003.193,3093132.076,3366968.981,3753621.51,3551154.549,2503231.412,3106776.535,2390550.998,3279089.717,4312455.151
Q9UHD8,Septin-9 OS=Homo sapiens OX=9606 GN=SEPT9 PE=1 SV=2,7145617.239,6017432.103,6303918.589,6967940.965,6485843.955,6946489.361,5013618.155,7550954.042,4338311.92,5317715.145,7172303.688
P37837,Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,5118841.154,5327748.944,3972072.106,5375291.789,7228750.058,5116256.572,3680933.608,3704277.51,3946803.985,3722388.077,5037295.922
Q9NTK5,Obg-like ATPase 1 OS=Homo sapiens OX=9606 GN=OLA1 PE=1 SV=2,5447289.023,4876569.556,4585950.447,5116965.526,5500857.119,5043171.026,4437589.817,4391572.92,3623806.69,4415089.827,5719749.278
Q9ULD0,"2-oxoglutarate dehydrogenase-like, mitochondrial OS=Homo sapiens OX=9606 GN=OGDHL PE=1 SV=3",3527368.696,2736833.545,2650879.759,2947233.906,2015772.987,2991297.732,2232361.146,3375530.015,1948920.287,2736266.829,3649503.705
Q8N9I0,Synaptotagmin-2 OS=Homo sapiens OX=9606 GN=SYT2 PE=1 SV=2,642056.5518,382082.4043,367575.8188,511121.5166,260354.4993,478957.8232,313446.4131,500219.3794,254336.2876,302888.3931,572193.0391
O94826,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1,7821099.028,6212510.198,6608682.632,7368027.421,5812061.627,6910959.183,5615288.579,6846840.154,4358965.531,5433846.425,8225383.563
O95292,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,5892392.999,4975888.202,5405058.73,6234990.547,5333180.458,6377960.899,4829396.192,5180645.956,3873448.745,5195916.283,6922275.176
P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,2766463.738,2588286.695,2469222.689,2691028.416,3019042.098,2965636.143,2272204.486,2632191.895,2161172.865,2452380.684,3225810.565
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1,18705015.43,13123606.58,15210383.05,14655208.77,14279548.5,16081149.04,13226915.21,11928234.96,9033905.298,10935552.11,19117847.51
O95197,Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2,2488410.182,2015229.404,1963272.571,2273544.177,2247630.384,2238370.621,1711224.495,1882872.024,1623510.483,1931060.704,2527425.002
P05771,Protein kinase C beta type OS=Homo sapiens OX=9606 GN=PRKCB PE=1 SV=4,5838049.041,4408539.167,5073537.883,5601375.56,5962389.954,5564042.334,4706322.04,5312741.91,3671014.186,4721606.243,5179294.424
Q92752,Tenascin-R OS=Homo sapiens OX=9606 GN=TNR PE=1 SV=3,2912642.678,2597138.123,2148717.978,2338616.987,2768038.729,2776006.281,2520222.006,2248366.315,1981910.524,2683719.98,2950566.539
O15394,Neural cell adhesion molecule 2 OS=Homo sapiens OX=9606 GN=NCAM2 PE=1 SV=2,3284123.139,2874288.218,2958945.111,3402223.934,3358727.317,3111135.436,2508994.263,2880081.211,2035401.173,2819896.081,3554688.673
Q9ULU8,Calcium-dependent secretion activator 1 OS=Homo sapiens OX=9606 GN=CADPS PE=1 SV=3,1839512.278,1593601.868,1624406.588,1736643.062,1575271.467,1841353.211,1421819.666,1721206.153,1247203.975,1635776.921,2256972.849
P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,8240350.975,6718816.873,8244898.465,9019429.142,7678886.466,7929731.678,6859145.158,7783416.66,6177315.937,7877048.868,10468524.36
P78352,Disks large homolog 4 OS=Homo sapiens OX=9606 GN=DLG4 PE=1 SV=3,3358590.432,2900623.63,3004183.829,2974839.905,2836778.578,3287745.333,2629518.152,3835862.199,2297631.592,3466596.279,4107216.964
O60282,Kinesin heavy chain isoform 5C OS=Homo sapiens OX=9606 GN=KIF5C PE=1 SV=1,2850354.557,2357952.101,2359032.098,2422253.097,2932033.285,2773799.989,2176790.156,2335923.054,2098694.688,2462856.604,3651993.224
Q9P0L0,Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3,12963247.86,10879196.66,11693294.77,12679148.07,12441844.51,12706220.27,10619226.22,11791321.14,8426967.846,11241577.94,15389197.16
P12235,ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4,3243847.198,2675525.412,2990380.356,3150964.686,1662987.523,3057211.09,2559133.88,3106054.517,2024356.199,2441656.349,4346100.424
Q16799,Reticulon-1 OS=Homo sapiens OX=9606 GN=RTN1 PE=1 SV=1,2768397.737,2451868.462,2691235.371,2890070.439,2257089.832,2734787.609,2271767.345,2075695.645,1962196.625,2491071.121,3288963.45
Q8N111,Cell cycle exit and neuronal differentiation protein 1 OS=Homo sapiens OX=9606 GN=CEND1 PE=1 SV=1,7346398.206,4646238.385,4463027.49,5804919.08,4224836.584,5204282.839,3369229.458,4159844.46,3271536.563,4041267.843,7204368.754
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,2896944.928,1804994.394,2428799.448,2425428.478,2404369.886,2586748.12,2408208.776,2100497.313,1800562.354,2015238.178,3703720.993
Q9HC38,Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,3887905.402,3586315.597,4058793.938,4137783.24,3809636.913,3876848.689,3464365.625,3985349.706,2657454.238,3285292.632,4340130.36
Q14203,Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3,1488069.819,1327911.214,1266221.565,1340240.664,1580089.525,1364835.731,1132367.298,1331363.995,960203.1686,1185534.631,1598973.957
P55327,Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2,2619942.539,1866703.703,2614053.183,2452789.053,2632481.149,2881860.834,2231435.043,2501272.249,2052605.829,2212442.917,3361935.203
Q14344,Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens OX=9606 GN=GNA13 PE=1 SV=2,5478.294922,4534.84082,2595.04541,4674.914551,5353.85498,3482.139404,3120.437744,4907.241699,2520.50293,4360.268066,3581.206299
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens OX=9606 GN=COX5A PE=1 SV=2",5283874.327,4994866.028,4603575.391,4970019.551,4501322.022,5181306.632,3606596.02,5527388.166,3299366.096,4640746.642,6347943.59
Q13561,Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4,5244608.136,4049250.232,4228759.067,4545115.051,4990708.499,4562769.74,3572893.856,4094967.249,3092064.677,3828209.846,5415240.3
P23297,Protein S100-A1 OS=Homo sapiens OX=9606 GN=S100A1 PE=1 SV=2,5733898.938,3964685.872,3993336.908,4724786.785,4553459.508,4268848.812,2876577.011,4280319.576,3355572.502,4423414.555,4395619.067
P60953,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,9307845.977,8626946.575,9087170.038,8959095.481,12688173.52,9761563.757,9629313.582,8695259.637,8184746.537,9329870.017,11686652.71
P52758,2-iminobutanoate/2-iminopropanoate deaminase OS=Homo sapiens OX=9606 GN=RIDA PE=1 SV=1,4330265.305,3726728.964,3867621.244,3889917.22,3860034.798,4244968.633,3242688.331,3738268.815,2880824.86,3605135.094,4990836.247
Q14974,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,3132356.439,2741761.419,2806610.114,3055855.623,3313479.271,3120674.156,2528499.046,2941706.018,2026764.29,2615164.63,3614858.649
Q15819,Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4,2403687.066,1998822.141,1951777.081,2064899.801,2129285.266,2276938.523,1734173.308,1997224.8,1738141.454,2123150.392,2669157.422
Q07866,Kinesin light chain 1 OS=Homo sapiens OX=9606 GN=KLC1 PE=1 SV=2,2171707.44,1889526.243,2027889.806,2068766.615,2415727.704,2193975.931,1699901.773,1993137.23,1539671.831,1732111.4,2763746.735
Q16543,Hsp90 co-chaperone Cdc37 OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1,3111244.647,2483627.172,2485028.431,2532693.232,2558643.46,2733584.15,2089846.596,2339151.982,1832992.728,2194608.594,3574010.129
Q02750,Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP2K1 PE=1 SV=2,5801359.724,4689742.565,4795181.433,5166913.073,4610195.918,4847163.443,3883816.387,4735701.943,3255257.956,4048863.562,5324376.558
P29218,Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1,3999958.371,3207586.426,2797397.122,3617383.474,3915104.417,3304753.73,2585038.998,2998383.964,2143749.849,2487593.825,3272420.859
P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2,10853357.01,8210223.031,9164084.29,9530057.144,9340906.17,9399412.939,7313642.133,8914688.127,6148874.085,7421368.551,10635378.09
P62328,Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2,19763435.11,16394724.28,19786426.82,15324329.3,23721574.78,19490008.45,15381403.77,12858802.69,13582218.66,13721268.28,23423260.33
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Homo sapiens OX=9606 GN=NDUFB10 PE=1 SV=3,2250073.651,2431046.737,2187109.683,2636883.726,2042430.171,2448437.796,1860637.393,2239866.346,1637295.867,2007802.732,3431397.713
Q8N3V7,Synaptopodin OS=Homo sapiens OX=9606 GN=SYNPO PE=1 SV=2,1059715.766,1103756.715,1616794.885,1147793.24,1351162.913,1447308.732,1420273.88,836045.6072,1257495.549,1405570.556,2474784.202
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,8873051.878,6526305.344,7257635.926,8600920.485,6831275.218,7781992.542,5868539.683,7055200.232,5155611.183,6760531.411,8778864.138
Q96FJ2,"Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",3887626.938,3444741.416,2996571.651,3229172.021,3117877.311,3576664.397,2827571.239,3462037.772,2632723.94,3423506.02,4806335.254
P02545,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,3209810.756,2938355.963,2959345.856,3412820.416,4754286.638,3157161.781,2332332.892,2564407.768,2217557.786,2090890.089,3143789.563
P08247,Synaptophysin OS=Homo sapiens OX=9606 GN=SYP PE=1 SV=3,24653652.76,22021841.88,24899839.83,24331759.32,17561869.71,26118454.78,18733469.73,28785117.73,16280628.19,24199015.22,33952275.7
Q9UN36,Protein NDRG2 OS=Homo sapiens OX=9606 GN=NDRG2 PE=1 SV=2,8402861.464,6919605.409,5233723.366,5100940.092,7142589.212,7012966.477,7316758.618,5590214.542,5309721.698,6232225.902,9495390.394
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,2668540.67,2035972.982,2010249.918,2340221.206,2230605.252,2271017.272,1839378.213,1583646.676,1570545.302,1929936.218,2875099.995
O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,515257.5754,460548.728,557717.8927,571283.7887,522359.9982,541914.2054,421734.5539,388029.9141,404819.8066,485128.9856,677279.6239
P05090,Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1,5717093.076,3575921.685,4957235.794,4784179.065,7915925.381,5021489.675,3934105.446,3640280.002,2724589.121,2955143.263,5677505.766
P32004,Neural cell adhesion molecule L1 OS=Homo sapiens OX=9606 GN=L1CAM PE=1 SV=2,4314577.443,2912850.293,3159583.477,3883507.755,2898192.765,3715070.707,2531414.865,3389011.128,2170968.534,3345433.594,3674310.792
Q13424,Alpha-1-syntrophin OS=Homo sapiens OX=9606 GN=SNTA1 PE=1 SV=1,3216874.331,2516710.345,2625615.797,2815198.516,2281156.943,2641590.75,1892491.06,3154105.427,1988894.078,2227605.8,3005805.657
Q15847,Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1,1346228.462,628048.4056,785223.4329,1487535.366,645173.9779,863203.368,608083.3383,734485.0789,409210.749,545725.5527,602995.6017
P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,2065037.482,2752275.454,2564715.999,2357510.568,4614976.872,2862976.525,2501803.07,3239021.301,2867434.818,2087820.661,3121434.703
O43236,Septin-4 OS=Homo sapiens OX=9606 GN=SEPT4 PE=1 SV=1,2392140.114,1862652.156,2322135.802,2312882.061,3990776.222,2530382.475,2153489.865,1959270.22,2168910.267,1679269.75,2910841.322
O75083,WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4,3348887.626,3102554.089,3065724.359,3126208.289,3157299.819,3266025.932,2455480.645,3457183.48,2033958.042,2464991.294,3252395.311
P36542,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",5435178.91,3656164.254,3398215.77,3987507.225,3861790.805,4220507.111,3308959.763,2561297.354,2893873.777,3700261.591,5909238.046
Q9UQB8,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1,1336970.538,1138785.586,1390509.834,1138504.709,1337409.951,1338191.687,1188724.789,1258755.95,951381.8705,1280936.15,1796745.821
P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,2055527.553,1633916.782,1997442.429,1969542.59,1767070.573,2015648.628,1715515.367,1751334.626,1512900.03,1744672.035,2487139.121
P00915,Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2,3840618.974,1852822.599,3075277.519,5258398.074,5935778.01,4487730.552,3724745.02,4065769.336,1683152.663,2113637.572,4844388.389
Q15181,Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2,3224545.451,2904511.176,2687046.633,3349439.677,2920812.85,2924908.465,2419412.051,2474652.699,2076711.003,2743261.964,3728069.937
P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1",7888014.69,5636064.31,6156079.894,7180601.533,4913418.055,6889333.849,4663830.094,7506414.681,4368684.993,5836412.912,9990996.971
Q13449,Limbic system-associated membrane protein OS=Homo sapiens OX=9606 GN=LSAMP PE=1 SV=2,2800911.094,2344346.371,2320542.042,2748014.165,2174293.71,2468851.475,1661726.68,2225117.27,1560860.318,1735917.568,2898799.529
P42025,Beta-centractin OS=Homo sapiens OX=9606 GN=ACTR1B PE=1 SV=1,4620480.364,3680398.381,4219633.118,4461181.897,4943596.652,4973656.328,3861007.155,3756568.66,2704817.305,3465468.22,4301089.885
Q15907,Ras-related protein Rab-11B OS=Homo sapiens OX=9606 GN=RAB11B PE=1 SV=4,4331433.28,3467104.952,3360710.514,4167060.261,3656379.292,3926893.302,2824275.379,3374676.206,2816490.361,3533477.366,4719294.03
P67936,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,6183793.215,4806229.897,5046992.023,5055893.003,5359406.48,5548608.438,4066857.882,4968640.824,3582697.306,4199260.689,6314623.228
P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,1789148.396,1224160.605,1420244.518,1443040.363,2119070.806,1615565.011,1570821.801,1090492.168,1196829.077,1154650.295,1675848.263
P61106,Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,1814635.286,1415513.494,1567913.678,1883713.59,1748746.094,1719318.143,1431450.771,1811130.994,1314943.714,1552502.14,2299709.299
P78417,Glutathione S-transferase omega-1 OS=Homo sapiens OX=9606 GN=GSTO1 PE=1 SV=2,8163085.178,6793801.917,6979883.463,8258130.067,8331482.753,7495412.753,6326166.68,6899897.294,5657244.464,5579023.018,5877894.057
Q4V328,GRIP1-associated protein 1 OS=Homo sapiens OX=9606 GN=GRIPAP1 PE=1 SV=1,852793.817,739629.7019,828618.4922,853735.4432,770057.6125,883180.5134,637861.7412,834280.8937,622584.8294,659552.001,1016068.021
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",1884949.617,2476577.069,1739836.846,1729842.968,1842489.999,1949205.468,1386559.378,1828127.928,1215230.965,1660148.288,2479144.542
P38117,Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3,4179245.417,3407222.601,3851522.599,4156407.915,3240707.076,3918350.417,2990104.968,3225621.722,2435896.842,3169549.2,5275278.107
P52306,Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens OX=9606 GN=RAP1GDS1 PE=1 SV=3,1999479.19,1511069.52,1541360.429,1629575.399,2311679.162,1804820.972,1534664.86,1497714.523,1335000.006,1513329.401,2176408.071
Q96QK1,Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2,1608973.282,1245015.299,1392102.132,1463222.397,1220403.001,1493817.673,1011065.437,1487220.99,967354.9568,1236821.559,1823092.986
O95757,Heat shock 70 kDa protein 4L OS=Homo sapiens OX=9606 GN=HSPA4L PE=1 SV=3,1819235.752,1395713.812,1451838.955,1621388.706,1482454.357,1664674.78,1316843.168,1603283.125,1107863.832,1409083.324,2061127.472
Q92686,Neurogranin OS=Homo sapiens OX=9606 GN=NRGN PE=1 SV=1,1757430.847,1808670.172,2408542.454,1908185.213,2192510.565,2079886.387,1850230.265,1465552.851,1589223.237,2122345.072,4225025.618
Q9BW30,Tubulin polymerization-promoting protein family member 3 OS=Homo sapiens OX=9606 GN=TPPP3 PE=1 SV=1,3284099.857,3010118.773,3717818.696,3149039.742,8023509.018,3561539.33,2630793.646,2399232.858,3360366.949,1954117.14,2841824.001
O94919,Endonuclease domain-containing 1 protein OS=Homo sapiens OX=9606 GN=ENDOD1 PE=1 SV=2,411012.4035,442701.5723,392433.6557,498311.7737,653561.9939,510161.7041,437981.3834,404742.7673,454729.774,414895.4659,432307.3875
P30049,"ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2",1282323.911,757454.4152,805998.7928,826054.9873,862184.6376,992305.3819,706866.171,900306.8051,675093.2828,893220.2034,1102192.348
P55786,Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2,3982827.025,3420677.019,3389026.888,3750610.335,3897397.076,3803132.081,2764477.621,3406147.08,2688034.077,3172196.931,4022517.855
P49006,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,1797366.701,1354654.811,1523364.118,1737853.791,2446464.435,1929146.829,1660462.474,1454846.436,1397213.671,1343176.85,1977305.291
P07108,Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2,14075187.24,10733329.38,10760618.63,18887899.03,13305675.89,12763155.34,7177669.733,10875652.06,8469565.81,11168421.23,14676439.51
P10645,Chromogranin-A OS=Homo sapiens OX=9606 GN=CHGA PE=1 SV=7,2804129.992,2448405.427,2479519.007,4339194.517,1846657.33,2593744.04,1658293.943,2716642.445,1443559.457,1907294.931,2367095.289
P42765,"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2",1243214.962,909730.261,1211369.879,1266568.343,1163574.583,1278699.564,1177729.706,1122964.531,952684.6002,1201632.855,1686271.455
P01860,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2,82388.97925,66093.40308,170927.8052,110653.746,246015.8657,183441.3823,310241.7124,245340.5176,96360.74194,216608.3413,102622.6871
P13489,Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,1454904.466,1497224.119,1291779.209,1768327.017,2031042.42,1717941.808,1347189.009,1427615.765,1319049.54,1387904.806,1632495.691
Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,827905.0106,680551.5054,802915.6433,836506.6957,825111.8489,806624.4052,656083.1935,728251.9771,612166.1353,665000.3958,842722.4252
O94925,"Glutaminase kidney isoform, mitochondrial OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1",2981814.767,3192002.137,2602987.918,2466912.545,1983637.977,2824550.311,2211253.239,2643502.174,1647122.315,2225070.981,3408945.41
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens OX=9606 GN=PAFAH1B1 PE=1 SV=2,1997380.218,1829330.05,1764488.376,1935355.862,2037328.149,1918009.966,1512743.79,1903744.929,1332828.83,1622796.389,2135610.057
